unit_id,faction,unit_name,selection_type,models_min,models_max,suggestion_rank,suggestion_score,suggestion_reason,guide_faction,guide_unit_name,guide_model_name,base_size_text,base_type,base_shape,base_width_mm,base_depth_mm,source_page,source,source_url,source_updated
69f4-c990-93b4-20fc,Aeldari - Aeldari Library,Autarch Skyrunner [Legends],model,1,1,1,0.69,name similarity 0.71; token overlap 0.33; faction compatible,AELDARI,Farseer Skyrunner,,Small Flying Base,small_flying_base,flying,,,19,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026
69f4-c990-93b4-20fc,Aeldari - Aeldari Library,Autarch Skyrunner [Legends],model,1,1,2,0.65,name similarity 0.65; token overlap 0.33; faction compatible,AELDARI,Autarch wayleaper,,32mm,round,round,32,32,19,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026
69f4-c990-93b4-20fc,Aeldari - Aeldari Library,Autarch Skyrunner [Legends],model,1,1,3,0.64,name similarity 0.58; token overlap 0.50; faction compatible,AELDARI,Autarch,,32mm,round,round,32,32,19,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026
c9ed-d190-419c-78d3,Aeldari - Aeldari Library,Karandras [Legends],model,1,1,1,0.58,name similarity 0.67; token overlap 0.00; faction compatible,DRUKHARI,Mandrakes,,28.5mm,round,round,28.5,28.5,33,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026
b221-43a3-8bee-117c,Aeldari - Aeldari Library,Court of the Archon [Legends],unit,4,4,1,0.72,name similarity 0.69; token overlap 0.50; faction compatible,DRUKHARI,Hand of the Archon,,25mm,round,round,25,25,33,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026
b221-43a3-8bee-117c,Aeldari - Aeldari Library,Court of the Archon [Legends],unit,4,4,2,0.59,name similarity 0.57; token overlap 0.33; faction compatible,DRUKHARI,Archon,,32mm,round,round,32,32,33,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026
b221-43a3-8bee-117c,Aeldari - Aeldari Library,Court of the Archon [Legends],unit,4,4,3,0.57,name similarity 0.57; token overlap 0.25; faction compatible,AELDARI,Ynnari Archon,,32mm,round,round,32,32,20,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026
5f15-8ad-1f3b-d6d1,Aeldari - Aeldari Library,Skathach Wraithknight [Legends],model,1,1,1,0.75,name similarity 0.73; token overlap 0.50; faction compatible,AELDARI,Wraithknight,,120x92mm Oval Base,oval,oval,120,92,20,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026
5f15-8ad-1f3b-d6d1,Aeldari - Aeldari Library,Skathach Wraithknight [Legends],model,1,1,2,0.56,name similarity 0.53; token overlap 0.33; faction compatible,AELDARI,Wraithknight with Ghostglaive,,120x92mm Oval Base,oval,oval,120,92,20,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026
9c94-b663-fd31-6001,Aeldari - Aeldari Library,Shadow Spectres [Legends],unit,5,11,1,0.62,name similarity 0.72; token overlap 0.00; faction compatible,AELDARI,Shadowseer,,25mm,round,round,25,25,19,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026
ef18-ff32-2be6-7372,Aeldari - Aeldari Library,Warp Hunter [Legends],model,1,1,1,0.64,name similarity 0.64; token overlap 0.33; faction compatible,AELDARI,Crimson Hunter,,120x92mm Oval Base,oval,oval,120,92,19,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026
ef18-ff32-2be6-7372,Aeldari - Aeldari Library,Warp Hunter [Legends],model,1,1,2,0.62,name similarity 0.61; token overlap 0.33; faction compatible,AELDARI,Warp Spiders,,28.5mm,round,round,28.5,28.5,20,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026
b369-a813-75ac-2dc6,Aeldari - Aeldari Library,Wraithseer [Legends],model,1,1,1,0.60,name similarity 0.70; token overlap 0.00; faction compatible,AELDARI,Spiritseer,,25mm,round,round,25,25,19,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026
b369-a813-75ac-2dc6,Aeldari - Aeldari Library,Wraithseer [Legends],model,1,1,2,0.60,name similarity 0.70; token overlap 0.00; faction compatible,AELDARI,Wraithlord,,60mm,round,round,60,60,20,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026
b369-a813-75ac-2dc6,Aeldari - Aeldari Library,Wraithseer [Legends],model,1,1,3,0.58,name similarity 0.67; token overlap 0.00; faction compatible,AELDARI,Wraithguard,,40mm,round,round,40,40,20,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026
790d-9fdf-b359-62ba,Aeldari - Aeldari Library,Corsair Cloud Dancer Band [Legends],unit,3,7,1,0.57,name similarity 0.59; token overlap 0.20; faction compatible,AELDARI,Corsair Voidreavers,,28.5mm,round,round,28.5,28.5,19,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026
22ea-9a4-cda3-a24,Aeldari - Aeldari Library,Vampire Hunter [Legends],model,1,1,1,0.59,name similarity 0.57; token overlap 0.33; faction compatible,AELDARI,Crimson Hunter,,120x92mm Oval Base,oval,oval,120,92,19,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026
4016-44d3-c64b-cc1a,Aeldari - Aeldari Library,Vampire Raider [Legends],model,1,1,1,0.66,name similarity 0.67; token overlap 0.33; faction compatible,AELDARI,Ynnari Raider,,Large Flying Base,large_flying_base,flying,,,20,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026
4016-44d3-c64b-cc1a,Aeldari - Aeldari Library,Vampire Raider [Legends],model,1,1,2,0.65,name similarity 0.60; token overlap 0.50; faction compatible,DRUKHARI,Raider,,Large Flying Base,large_flying_base,flying,,,33,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026
6c50-7486-7c0d-52d0,Aeldari - Aeldari Library,Wasp Assault Walker [Legends],model,1,1,1,0.61,name similarity 0.62; token overlap 0.25; faction compatible,AELDARI,War Walker,,60mm,round,round,60,60,20,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026
a228-7269-9961-daf4,Aeldari - Aeldari Library,Reaper [Legends],model,1,1,1,0.66,name similarity 0.77; token overlap 0.00; faction compatible,DRUKHARI,Reavers,,Small Flying Base,small_flying_base,flying,,,33,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026
a228-7269-9961-daf4,Aeldari - Aeldari Library,Reaper [Legends],model,1,1,2,0.58,name similarity 0.67; token overlap 0.00; faction compatible,AELDARI,Dark Reapers,,28.5mm,round,round,28.5,28.5,19,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026
