unit_id,faction,unit_name,selection_type,models_min,models_max,footprint_status,base_type,base_shape,base_width_mm,base_depth_mm,guide_faction,guide_unit_name,guide_model_name,source,source_url,source_updated,match_method,match_confidence,review_reason
828d-840a-9a67-9074,Aeldari - Aeldari Library,Asurmen,model,1,1,matched,round,round,40,40,AELDARI,Asurmen,,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026,exact_name_faction,1.00,
69f4-c990-93b4-20fc,Aeldari - Aeldari Library,Autarch Skyrunner [Legends],model,1,1,unmatched,,,,,,,,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026,none,0.00,No official base-size guide row matched this imported unit name.
df57-7a59-75eb-ce63,Aeldari - Aeldari Library,Autarch,model,1,1,matched,round,round,32,32,AELDARI,Autarch,,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026,exact_name_faction,1.00,
497a-263e-966a-5a15,Aeldari - Aeldari Library,Autarch Wayleaper,model,1,1,matched,round,round,32,32,AELDARI,Autarch wayleaper,,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026,exact_name_faction,1.00,
554c-8b4f-1059-28a7,Aeldari - Aeldari Library,Avatar of Khaine,model,1,1,matched,round,round,80,80,AELDARI,Avatar of Khaine,,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026,exact_name_faction,1.00,
8732-df2f-a542-805f,Aeldari - Aeldari Library,Baharroth,model,1,1,matched,round,round,40,40,AELDARI,Baharroth,,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026,exact_name_faction,1.00,
90c9-aaac-5ef8-f043,Aeldari - Aeldari Library,Crimson Hunter,model,1,1,matched,oval,oval,120,92,AELDARI,Crimson Hunter,,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026,exact_name_faction,1.00,
6863-bf42-238a-fd0b,Aeldari - Aeldari Library,Dark Reapers,unit,5,10,matched,round,round,28.5,28.5,AELDARI,Dark Reapers,,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026,exact_name_faction,1.00,
5768-1f87-3a16-d901,Aeldari - Aeldari Library,Death Jester,model,1,1,matched,round,round,25,25,AELDARI,Death Jester,,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026,exact_name_faction,1.00,
e6c2-f3b2-6d3e-c3d3,Aeldari - Aeldari Library,Dire Avengers,unit,5,10,matched,round,round,28.5,28.5,AELDARI,Dire Avengers,,"Warhammer 40,000 Chapter Approved Tournament Companion Base Size Guide",https://assets.warhammer-community.com/eng_07-01_warhammer_40000_core_rules_chapter_approved_tournament-companion-sqc1af88bj-vzxhp9xmid.pdf,January 2026,exact_name_faction,1.00,
