faction,unit_name,selection_type,unit_id,source_file,points,models_min,models_max,total_weapons,ranged_weapons,ranged_weapons_with_range,ranged_weapons_missing_range,melee_weapons,coverage
Aeldari - Aeldari Library,Amallyn Shadowguide [Legends],model,965e-3df7-287a-6ac0,Aeldari - Aeldari Library.cat,75,1,1,2,1,1,0,1,both
Aeldari - Aeldari Library,Archon,model,5c1c-fa4a-3234-c711,Aeldari - Aeldari Library.cat,80,1,1,5,2,2,0,3,both
Aeldari - Aeldari Library,Archtormentor [Crucible],model,62f8-6a75-5ffb-e83b,Aeldari - Aeldari Library.cat,60,1,1,18,8,8,0,10,both
Aeldari - Aeldari Library,Asurmen,model,828d-840a-9a67-9074,Aeldari - Aeldari Library.cat,135,1,1,2,1,1,0,1,both
Aeldari - Aeldari Library,Autarch,model,df57-7a59-75eb-ce63,Aeldari - Aeldari Library.cat,85,1,1,9,6,6,0,3,both
Aeldari - Aeldari Library,Autarch Skyrunner [Legends],model,69f4-c990-93b4-20fc,Aeldari - Aeldari Library.cat,90,1,1,5,3,3,0,2,both
Aeldari - Aeldari Library,Autarch Wayleaper,model,497a-263e-966a-5a15,Aeldari - Aeldari Library.cat,80,1,1,9,6,6,0,3,both
Aeldari - Aeldari Library,Avatar of Khaine,model,554c-8b4f-1059-28a7,Aeldari - Aeldari Library.cat,280,1,1,3,1,1,0,2,both
Aeldari - Aeldari Library,Baharroth,model,8732-df2f-a542-805f,Aeldari - Aeldari Library.cat,115,1,1,2,1,1,0,1,both
Aeldari - Aeldari Library,Beastmaster [Legends],unit,f99a-af49-64c0-9bed,Aeldari - Aeldari Library.cat,135,7,7,5,1,1,0,4,both
Aeldari - Aeldari Library,Cobra [Legends],model,e2ad-60b4-9678-88aa,Aeldari - Aeldari Library.cat,415,1,1,8,7,7,0,1,both
Aeldari - Aeldari Library,Corsair Cloud Dancer Band [Legends],unit,790d-9fdf-b359-62ba,Aeldari - Aeldari Library.cat,105,3,7,9,7,7,0,2,both
Aeldari - Aeldari Library,Court of the Archon [Legends],unit,b221-43a3-8bee-117c,Aeldari - Aeldari Library.cat,95,4,4,7,3,3,0,4,both
Aeldari - Aeldari Library,Craftworld Warleader [Crucible],model,8e2c-2234-8595-f191,Aeldari - Aeldari Library.cat,75,1,1,30,20,20,0,10,both
Aeldari - Aeldari Library,Crimson Hunter,model,90c9-aaac-5ef8-f043,Aeldari - Aeldari Library.cat,160,1,1,4,3,3,0,1,both
Aeldari - Aeldari Library,Cronos,unit,a5d3-e21b-bf13-a952,Aeldari - Aeldari Library.cat,55,1,2,3,2,2,0,1,both
Aeldari - Aeldari Library,D-Cannon Platform,model,82ac-7d93-df55-5504,Aeldari - Aeldari Library.cat,125,1,1,3,2,2,0,1,both
Aeldari - Aeldari Library,Dark Reapers,unit,6863-bf42-238a-fd0b,Aeldari - Aeldari Library.cat,90,5,10,7,6,6,0,1,both
Aeldari - Aeldari Library,Death Jester,model,5768-1f87-3a16-d901,Aeldari - Aeldari Library.cat,90,1,1,2,1,1,0,1,both
Aeldari - Aeldari Library,Dire Avengers,unit,e6c2-f3b2-6d3e-c3d3,Aeldari - Aeldari Library.cat,75,5,10,5,2,2,0,3,both
Aeldari - Aeldari Library,Eldrad Ulthran,model,f48e-276e-a997-c90e,Aeldari - Aeldari Library.cat,120,1,1,3,2,2,0,1,both
Aeldari - Aeldari Library,Falcon,model,1d83-167-486c-bac4,Aeldari - Aeldari Library.cat,130,1,1,9,8,8,0,1,both
Aeldari - Aeldari Library,Farseer,model,b2f5-8219-f875-917e,Aeldari - Aeldari Library.cat,70,1,1,4,3,3,0,1,both
Aeldari - Aeldari Library,Farseer Skyrunner,model,833b-55bc-73be-8862,Aeldari - Aeldari Library.cat,80,1,1,5,4,4,0,1,both
Aeldari - Aeldari Library,Fire Dragons,unit,5374-9e93-8af2-819e,Aeldari - Aeldari Library.cat,120,5,10,7,5,5,0,2,both
Aeldari - Aeldari Library,Fire Prism,model,9940-a69b-682e-ccf4,Aeldari - Aeldari Library.cat,150,1,1,5,4,4,0,1,both
Aeldari - Aeldari Library,Firestorm [Legends],model,d11f-239d-94b4-c194,Aeldari - Aeldari Library.cat,115,1,1,4,3,3,0,1,both
Aeldari - Aeldari Library,Flesh Crafter [Crucible],model,b5a1-7e2b-7a1d-bbda,Aeldari - Aeldari Library.cat,60,1,1,18,8,8,0,10,both
Aeldari - Aeldari Library,Fuegan,model,9262-3993-1368-be5a,Aeldari - Aeldari Library.cat,120,1,1,3,2,2,0,1,both
Aeldari - Aeldari Library,Ghost Warrior [Crucible],model,5578-f918-6e88-3d0e,Aeldari - Aeldari Library.cat,160,1,1,30,20,20,0,10,both
Aeldari - Aeldari Library,Grotesques [Legends],unit,d729-7e1f-93a9-b1c5,Aeldari - Aeldari Library.cat,80,3,6,3,1,1,0,2,both
Aeldari - Aeldari Library,Guardian Defenders,unit,e78a-4442-4ed2-66bf,Aeldari - Aeldari Library.cat,100,11,11,8,7,7,0,1,both
Aeldari - Aeldari Library,Haemonculus,model,32ff-aec4-9669-c8a2,Aeldari - Aeldari Library.cat,60,1,1,2,1,1,0,1,both
Aeldari - Aeldari Library,Hellions,unit,2311-9feb-9d0a-8154,Aeldari - Aeldari Library.cat,85,4,9,5,2,2,0,3,both
Aeldari - Aeldari Library,Hemlock Wraithfighter,model,551b-900c-3681-8f11,Aeldari - Aeldari Library.cat,155,1,1,2,1,1,0,1,both
Aeldari - Aeldari Library,Hornet [Legends],model,1224-8735-46d-1919,Aeldari - Aeldari Library.cat,100,1,1,8,7,7,0,1,both
