faction,unit_name,selection_type,unit_id,source_file,unit_points,models_min,models_max,weapon_id,weapon_name,weapon_type,range_inches,attacks,skill,strength,ap,damage,attacks_average,strength_average,damage_average,attacks_parse_status,strength_parse_status,damage_parse_status,raw_damage_throughput,keywords,hit_modifier,wound_modifier,reroll_hits,reroll_wounds,lethal_hits,sustained_hits,devastating_wounds
Aeldari - Aeldari Library,Amallyn Shadowguide [Legends],model,965e-3df7-287a-6ac0,Aeldari - Aeldari Library.cat,75,1,1,965e-3df7-287a-6ac0:melee:power-blade,Power blade,melee,,4,3+,4,-2,1,4.00,4.00,1.00,ok,ok,ok,4.00,-,,,,,,,
Aeldari - Aeldari Library,Amallyn Shadowguide [Legends],model,965e-3df7-287a-6ac0,Aeldari - Aeldari Library.cat,75,1,1,965e-3df7-287a-6ac0:ranged:ranger-long-rifle,Ranger long rifle,ranged,36,1,3+,4,-1,2,1.00,4.00,2.00,ok,ok,ok,2.00,"Heavy, Precision",,,,,,,
Aeldari - Aeldari Library,Archon,model,5c1c-fa4a-3234-c711,Aeldari - Aeldari Library.cat,80,1,1,5c1c-fa4a-3234-c711:melee:agoniser,Agoniser,melee,,6,2+,3,-2,1,6.00,3.00,1.00,ok,ok,ok,6.00,Anti-Infantry 3+,,,,,,,
Aeldari - Aeldari Library,Archon,model,5c1c-fa4a-3234-c711,Aeldari - Aeldari Library.cat,80,1,1,5c1c-fa4a-3234-c711:ranged:blast-pistol,Blast pistol,ranged,6,1,2+,8,-3,D3,1.00,8.00,2.00,ok,ok,ok,2.00,Pistol,,,,,,,
Aeldari - Aeldari Library,Archon,model,5c1c-fa4a-3234-c711,Aeldari - Aeldari Library.cat,80,1,1,5c1c-fa4a-3234-c711:melee:huskblade,Huskblade,melee,,4,2+,3,-2,3,4.00,3.00,3.00,ok,ok,ok,12.00,Devastating Wounds,,,,,,,
Aeldari - Aeldari Library,Archon,model,5c1c-fa4a-3234-c711,Aeldari - Aeldari Library.cat,80,1,1,5c1c-fa4a-3234-c711:melee:master-crafted-power-weapon,Master-crafted power weapon,melee,,5,2+,4,-2,2,5.00,4.00,2.00,ok,ok,ok,10.00,-,,,,,,,
Aeldari - Aeldari Library,Archon,model,5c1c-fa4a-3234-c711,Aeldari - Aeldari Library.cat,80,1,1,5c1c-fa4a-3234-c711:ranged:splinter-pistol,Splinter pistol,ranged,12,1,2+,2,0,1,1.00,2.00,1.00,ok,ok,ok,1.00,"Anti-Infantry 3+, Assault, Pistol",,,,,,,
Aeldari - Aeldari Library,Archtormentor [Crucible],model,62f8-6a75-5ffb-e83b,Aeldari - Aeldari Library.cat,60,1,1,62f8-6a75-5ffb-e83b:melee:agoniser,Agoniser,melee,,6,2+,3,-2,1,6.00,3.00,1.00,ok,ok,ok,6.00,Anti-Infantry 3+,,,,,,,
Aeldari - Aeldari Library,Archtormentor [Crucible],model,62f8-6a75-5ffb-e83b,Aeldari - Aeldari Library.cat,60,1,1,62f8-6a75-5ffb-e83b:melee:archite-glaive-and-agoniser,Archite glaive and agoniser,melee,,7,2+,3,-2,1,7.00,3.00,1.00,ok,ok,ok,7.00,"Anti-Infantry 3+, Precision",,,,,,,
Aeldari - Aeldari Library,Archtormentor [Crucible],model,62f8-6a75-5ffb-e83b,Aeldari - Aeldari Library.cat,60,1,1,62f8-6a75-5ffb-e83b:melee:bladevanes,Bladevanes,melee,,4,2+,4,-1,1,4.00,4.00,1.00,ok,ok,ok,4.00,"Extra Attacks, Lance",,,,,,,
Aeldari - Aeldari Library,Archtormentor [Crucible],model,62f8-6a75-5ffb-e83b,Aeldari - Aeldari Library.cat,60,1,1,62f8-6a75-5ffb-e83b:ranged:blast-pistol,Blast Pistol,ranged,6,1,2+,8,-3,D3,1.00,8.00,2.00,ok,ok,ok,2.00,Pistol,,,,,,,
Aeldari - Aeldari Library,Archtormentor [Crucible],model,62f8-6a75-5ffb-e83b,Aeldari - Aeldari Library.cat,60,1,1,62f8-6a75-5ffb-e83b:ranged:blaster,Blaster,ranged,18,1,2+,8,-4,D6+1,1.00,8.00,4.50,ok,ok,ok,4.50,Assault,,,,,,,
Aeldari - Aeldari Library,Archtormentor [Crucible],model,62f8-6a75-5ffb-e83b,Aeldari - Aeldari Library.cat,60,1,1,62f8-6a75-5ffb-e83b:melee:haemonculus-tools-and-scissorhands,Haemonculus tools and scissorhands,melee,,5,2+,3,-1,D3,5.00,3.00,2.00,ok,ok,ok,10.00,"Anti-Infantry 2+, Precision",,,,,,,
Aeldari - Aeldari Library,Archtormentor [Crucible],model,62f8-6a75-5ffb-e83b,Aeldari - Aeldari Library.cat,60,1,1,62f8-6a75-5ffb-e83b:ranged:heat-lance,Heat Lance,ranged,18,1,2+,14,-4,D6,1.00,14.00,3.50,ok,ok,ok,3.50,"Assault, Melta 3",,,,,,,
Aeldari - Aeldari Library,Archtormentor [Crucible],model,62f8-6a75-5ffb-e83b,Aeldari - Aeldari Library.cat,60,1,1,62f8-6a75-5ffb-e83b:melee:hellglaive,Hellglaive,melee,,5,2+,4,-1,2,5.00,4.00,2.00,ok,ok,ok,10.00,"Lance, Sustained Hits 1",,,,,,,
Aeldari - Aeldari Library,Archtormentor [Crucible],model,62f8-6a75-5ffb-e83b,Aeldari - Aeldari Library.cat,60,1,1,62f8-6a75-5ffb-e83b:melee:huskblade,Huskblade,melee,,4,2+,3,-2,3,4.00,3.00,3.00,ok,ok,ok,12.00,Devastating Wounds,,,,,,,
Aeldari - Aeldari Library,Archtormentor [Crucible],model,62f8-6a75-5ffb-e83b,Aeldari - Aeldari Library.cat,60,1,1,62f8-6a75-5ffb-e83b:melee:power-weapon,Power Weapon,melee,,5,2+,4,-2,2,5.00,4.00,2.00,ok,ok,ok,10.00,-,,,,,,,
Aeldari - Aeldari Library,Archtormentor [Crucible],model,62f8-6a75-5ffb-e83b,Aeldari - Aeldari Library.cat,60,1,1,62f8-6a75-5ffb-e83b:ranged:shardcarbine,Shardcarbine,ranged,18,2,2+,2,0,1,2.00,2.00,1.00,ok,ok,ok,2.00,"Anti-Infantry 3+, Assault",,,,,,,
Aeldari - Aeldari Library,Archtormentor [Crucible],model,62f8-6a75-5ffb-e83b,Aeldari - Aeldari Library.cat,60,1,1,62f8-6a75-5ffb-e83b:ranged:splinter-pistol,Splinter Pistol,ranged,12,1,2+,2,0,1,1.00,2.00,1.00,ok,ok,ok,1.00,"Anti-Infantry 3+, Assault, Pistol",,,,,,,
Aeldari - Aeldari Library,Archtormentor [Crucible],model,62f8-6a75-5ffb-e83b,Aeldari - Aeldari Library.cat,60,1,1,62f8-6a75-5ffb-e83b:ranged:splinter-pods,Splinter Pods,ranged,18,2,2+,2,0,1,2.00,2.00,1.00,ok,ok,ok,2.00,"Anti-Infantry 3+, Assault",,,,,,,
Aeldari - Aeldari Library,Archtormentor [Crucible],model,62f8-6a75-5ffb-e83b,Aeldari - Aeldari Library.cat,60,1,1,62f8-6a75-5ffb-e83b:ranged:splinter-rifle,Splinter Rifle,ranged,24,2,2+,2,0,1,2.00,2.00,1.00,ok,ok,ok,2.00,"Anti-Infantry 3+, Assault",,,,,,,
Aeldari - Aeldari Library,Archtormentor [Crucible],model,62f8-6a75-5ffb-e83b,Aeldari - Aeldari Library.cat,60,1,1,62f8-6a75-5ffb-e83b:ranged:stinger-pistol,Stinger Pistol,ranged,12,1,2+,2,-1,D3,1.00,2.00,2.00,ok,ok,ok,2.00,"Anti-Infantry 2+, Pistol, Precision",,,,,,,
Aeldari - Aeldari Library,Archtormentor [Crucible],model,62f8-6a75-5ffb-e83b,Aeldari - Aeldari Library.cat,60,1,1,62f8-6a75-5ffb-e83b:melee:stunclaw,Stunclaw,melee,,5,2+,3,-1,1,5.00,3.00,1.00,ok,ok,ok,5.00,"Devastating Wounds, Lance, Precision",,,,,,,
Aeldari - Aeldari Library,Archtormentor [Crucible],model,62f8-6a75-5ffb-e83b,Aeldari - Aeldari Library.cat,60,1,1,62f8-6a75-5ffb-e83b:melee:➤-demiklaives---dual-blades,➤ Demiklaives - Dual Blades,melee,,6,2+,4,-2,1,6.00,4.00,1.00,ok,ok,ok,6.00,-,,,,,,,
Aeldari - Aeldari Library,Archtormentor [Crucible],model,62f8-6a75-5ffb-e83b,Aeldari - Aeldari Library.cat,60,1,1,62f8-6a75-5ffb-e83b:melee:➤-demiklaives---single-blade,➤ Demiklaives - Single Blade,melee,,4,2+,5,-2,2,4.00,5.00,2.00,ok,ok,ok,8.00,-,,,,,,,
Aeldari - Aeldari Library,Asurmen,model,828d-840a-9a67-9074,Aeldari - Aeldari Library.cat,135,1,1,828d-840a-9a67-9074:ranged:the-bloody-twins,The Bloody Twins,ranged,24,6,2+,5,-1,2,6.00,5.00,2.00,ok,ok,ok,12.00,"Assault, Pistol",,,,,,,
Aeldari - Aeldari Library,Asurmen,model,828d-840a-9a67-9074,Aeldari - Aeldari Library.cat,135,1,1,828d-840a-9a67-9074:melee:the-sword-of-asur,The Sword of Asur,melee,,6,2+,6,-3,3,6.00,6.00,3.00,ok,ok,ok,18.00,Devastating Wounds,,,,,,,
Aeldari - Aeldari Library,Autarch,model,df57-7a59-75eb-ce63,Aeldari - Aeldari Library.cat,85,1,1,df57-7a59-75eb-ce63:melee:banshee-blade,Banshee Blade,melee,,5,2+,4,-2,2,5.00,4.00,2.00,ok,ok,ok,10.00,Anti-Infantry 3+,,,,,,,
Aeldari - Aeldari Library,Autarch,model,df57-7a59-75eb-ce63,Aeldari - Aeldari Library.cat,85,1,1,df57-7a59-75eb-ce63:ranged:death-spinner,Death Spinner,ranged,12,D6,N/A,4,-1,1,3.50,4.00,1.00,ok,ok,ok,3.50,"Ignores Cover, Torrent",,,,,,,
Aeldari - Aeldari Library,Autarch,model,df57-7a59-75eb-ce63,Aeldari - Aeldari Library.cat,85,1,1,df57-7a59-75eb-ce63:ranged:dragon-fusion-gun,Dragon Fusion Gun,ranged,12,1,2+,9,-4,D6,1.00,9.00,3.50,ok,ok,ok,3.50,"Assault, Melta 3",,,,,,,
Aeldari - Aeldari Library,Autarch,model,df57-7a59-75eb-ce63,Aeldari - Aeldari Library.cat,85,1,1,df57-7a59-75eb-ce63:ranged:dragon-fusion-pistol,Dragon Fusion Pistol,ranged,6,1,2+,9,-4,D6,1.00,9.00,3.50,ok,ok,ok,3.50,"Assault, Melta 3, Pistol",,,,,,,
Aeldari - Aeldari Library,Autarch,model,df57-7a59-75eb-ce63,Aeldari - Aeldari Library.cat,85,1,1,df57-7a59-75eb-ce63:melee:scorpion-chainsword,Scorpion Chainsword,melee,,7,2+,4,-1,1,7.00,4.00,1.00,ok,ok,ok,7.00,Sustained Hits 1,,,,,,,
Aeldari - Aeldari Library,Autarch,model,df57-7a59-75eb-ce63,Aeldari - Aeldari Library.cat,85,1,1,df57-7a59-75eb-ce63:ranged:shuriken-pistol,Shuriken Pistol,ranged,12,1,2+,4,-1,1,1.00,4.00,1.00,ok,ok,ok,1.00,"Assault, Pistol",,,,,,,
Aeldari - Aeldari Library,Autarch,model,df57-7a59-75eb-ce63,Aeldari - Aeldari Library.cat,85,1,1,df57-7a59-75eb-ce63:melee:star-glaive,Star Glaive,melee,,4,2+,6,-3,3,4.00,6.00,3.00,ok,ok,ok,12.00,-,,,,,,,
Aeldari - Aeldari Library,Autarch,model,df57-7a59-75eb-ce63,Aeldari - Aeldari Library.cat,85,1,1,df57-7a59-75eb-ce63:ranged:➤-reaper-launcher---starshot,➤ Reaper Launcher - Starshot,ranged,48,1,3+,10,-2,3,1.00,10.00,3.00,ok,ok,ok,3.00,"Heavy, Ignores Cover",,,,,,,
