weapon_id,unit_id,name,weapon_type,attacks,skill,strength,ap,damage,keywords,range_inches,hit_modifier,wound_modifier,reroll_hits,reroll_wounds,lethal_hits,sustained_hits,devastating_wounds,source_file
828d-840a-9a67-9074:melee:the-sword-of-asur,828d-840a-9a67-9074,The Sword of Asur,melee,6,2+,6,-3,3,Devastating Wounds,,,,,,,,,Aeldari - Aeldari Library.cat
828d-840a-9a67-9074:ranged:the-bloody-twins,828d-840a-9a67-9074,The Bloody Twins,ranged,6,2+,5,-1,2,"Assault, Pistol",24,,,,,,,,Aeldari - Aeldari Library.cat
69f4-c990-93b4-20fc:melee:banshee-blade,69f4-c990-93b4-20fc,Banshee Blade,melee,5,2+,4,-3,1,-,,,,,,,,,Aeldari - Aeldari Library.cat
69f4-c990-93b4-20fc:ranged:dragon-fusion-gun,69f4-c990-93b4-20fc,Dragon Fusion Gun,ranged,1,2+,9,-4,D6,"Assault, Melta 3",12,,,,,,,,Aeldari - Aeldari Library.cat
69f4-c990-93b4-20fc:ranged:laser-lance,69f4-c990-93b4-20fc,Laser Lance,ranged,1,2+,6,-3,2,Assault,6,,,,,,,,Aeldari - Aeldari Library.cat
69f4-c990-93b4-20fc:melee:laser-lance,69f4-c990-93b4-20fc,Laser Lance,melee,4,2+,4,-3,2,Lance,,,,,,,,,Aeldari - Aeldari Library.cat
69f4-c990-93b4-20fc:ranged:twin-shuriken-catapult,69f4-c990-93b4-20fc,Twin Shuriken Catapult,ranged,2,2+,4,-1,1,"Assault, Twin Linked",18,,,,,,,,Aeldari - Aeldari Library.cat
69f4-c990-93b4-20fc:melee:close-combat-weapon,69f4-c990-93b4-20fc,Close Combat Weapon,melee,3,2+,3,0,1,-,,,,,,,,,Aeldari - Aeldari Library.cat
df57-7a59-75eb-ce63:ranged:dragon-fusion-pistol,df57-7a59-75eb-ce63,Dragon Fusion Pistol,ranged,1,2+,9,-4,D6,"Assault, Melta 3, Pistol",6,,,,,,,,Aeldari - Aeldari Library.cat
df57-7a59-75eb-ce63:ranged:dragon-fusion-gun,df57-7a59-75eb-ce63,Dragon Fusion Gun,ranged,1,2+,9,-4,D6,"Assault, Melta 3",12,,,,,,,,Aeldari - Aeldari Library.cat
df57-7a59-75eb-ce63:ranged:death-spinner,df57-7a59-75eb-ce63,Death Spinner,ranged,D6,N/A,4,-1,1,"Ignores Cover, Torrent",12,,,,,,,,Aeldari - Aeldari Library.cat
df57-7a59-75eb-ce63:ranged:➤-reaper-launcher---starshot,df57-7a59-75eb-ce63,➤ Reaper Launcher - Starshot,ranged,1,3+,10,-2,3,"Heavy, Ignores Cover",48,,,,,,,,Aeldari - Aeldari Library.cat
df57-7a59-75eb-ce63:ranged:➤-reaper-launcher---starswarm,df57-7a59-75eb-ce63,➤ Reaper Launcher - Starswarm,ranged,2,3+,4,-2,1,"Heavy, Ignores Cover",48,,,,,,,,Aeldari - Aeldari Library.cat
df57-7a59-75eb-ce63:ranged:shuriken-pistol,df57-7a59-75eb-ce63,Shuriken Pistol,ranged,1,2+,4,-1,1,"Assault, Pistol",12,,,,,,,,Aeldari - Aeldari Library.cat
df57-7a59-75eb-ce63:melee:star-glaive,df57-7a59-75eb-ce63,Star Glaive,melee,4,2+,6,-3,3,-,,,,,,,,,Aeldari - Aeldari Library.cat
