unit_id,faction,name,toughness,save,invulnerable_save,wounds,move,leadership,objective_control,points,models_min,models_max,feel_no_pain,damage_cap,selection_type,source_file
828d-840a-9a67-9074,Aeldari - Aeldari Library,Asurmen,3,2+,,5,"7""",6+,1,135,1,1,,,model,Aeldari - Aeldari Library.cat
69f4-c990-93b4-20fc,Aeldari - Aeldari Library,Autarch Skyrunner [Legends],4,3+,,5,"14""",6+,2,90,1,1,,,model,Aeldari - Aeldari Library.cat
df57-7a59-75eb-ce63,Aeldari - Aeldari Library,Autarch,3,3+,,4,"7""",6+,1,85,1,1,,,model,Aeldari - Aeldari Library.cat
497a-263e-966a-5a15,Aeldari - Aeldari Library,Autarch Wayleaper,3,3+,,4,"14""",6+,1,80,1,1,,,model,Aeldari - Aeldari Library.cat
554c-8b4f-1059-28a7,Aeldari - Aeldari Library,Avatar of Khaine,11,2+,,14,"10""",6+,5,280,1,1,,,model,Aeldari - Aeldari Library.cat
8732-df2f-a542-805f,Aeldari - Aeldari Library,Baharroth,3,2+,,5,"14""",6+,1,115,1,1,,,model,Aeldari - Aeldari Library.cat
90c9-aaac-5ef8-f043,Aeldari - Aeldari Library,Crimson Hunter,8,3+,,12,"20+""",6+,0,160,1,1,,,model,Aeldari - Aeldari Library.cat
6863-bf42-238a-fd0b,Aeldari - Aeldari Library,Dark Reapers,3,3+,,1,"6""",6+,1,90,5,10,,,unit,Aeldari - Aeldari Library.cat
5768-1f87-3a16-d901,Aeldari - Aeldari Library,Death Jester,3,6+,,4,"8""",6+,1,90,1,1,,,model,Aeldari - Aeldari Library.cat
e6c2-f3b2-6d3e-c3d3,Aeldari - Aeldari Library,Dire Avengers,3,4+,,1,"7""",6+,1,75,5,10,,,unit,Aeldari - Aeldari Library.cat
f48e-276e-a997-c90e,Aeldari - Aeldari Library,Eldrad Ulthran,4,6+,,5,"7""",6+,1,120,1,1,,,model,Aeldari - Aeldari Library.cat
1d83-167-486c-bac4,Aeldari - Aeldari Library,Falcon,9,3+,,12,"14""",7+,3,130,1,1,,,model,Aeldari - Aeldari Library.cat
b2f5-8219-f875-917e,Aeldari - Aeldari Library,Farseer,3,6+,,4,"7""",6+,1,70,1,1,,,model,Aeldari - Aeldari Library.cat
833b-55bc-73be-8862,Aeldari - Aeldari Library,Farseer Skyrunner,4,6+,,5,"14""",6+,2,80,1,1,,,model,Aeldari - Aeldari Library.cat
5374-9e93-8af2-819e,Aeldari - Aeldari Library,Fire Dragons,3,3+,,1,"7""",6+,1,120,5,10,,,unit,Aeldari - Aeldari Library.cat
9940-a69b-682e-ccf4,Aeldari - Aeldari Library,Fire Prism,9,3+,,12,"14""",7+,3,150,1,1,,,model,Aeldari - Aeldari Library.cat
9262-3993-1368-be5a,Aeldari - Aeldari Library,Fuegan,3,2+,,5,"7""",6+,1,120,1,1,,,model,Aeldari - Aeldari Library.cat
e78a-4442-4ed2-66bf,Aeldari - Aeldari Library,Guardian Defenders,3,4+,,1,"7""",7+,2,100,11,11,,,unit,Aeldari - Aeldari Library.cat
551b-900c-3681-8f11,Aeldari - Aeldari Library,Hemlock Wraithfighter,8,3+,,12,"20+""",6+,0,155,1,1,,,model,Aeldari - Aeldari Library.cat
7fcb-9262-474a-7cec,Aeldari - Aeldari Library,Howling Banshees,3,4+,,1,"8""",6+,1,95,5,10,,,unit,Aeldari - Aeldari Library.cat
2713-f82d-5189-d5de,Aeldari - Aeldari Library,Illic Nightspear [Legends],3,5+,,3,"7""",6+,1,70,1,1,,,model,Aeldari - Aeldari Library.cat
77f9-e8de-225f-9e68,Aeldari - Aeldari Library,Jain Zar,3,2+,,5,"8""",6+,1,120,1,1,,,model,Aeldari - Aeldari Library.cat
c9ed-d190-419c-78d3,Aeldari - Aeldari Library,Karandras [Legends],3,2+,,5,"7""",6+,1,90,1,1,,,model,Aeldari - Aeldari Library.cat
6f18-95b7-2662-8925,Aeldari - Aeldari Library,Maugan Ra,3,2+,,5,"7""",6+,1,100,1,1,,,model,Aeldari - Aeldari Library.cat
908a-fc2b-5a53-599f,Aeldari - Aeldari Library,Night Spinner,9,3+,,12,"14""",7+,3,190,1,1,,,model,Aeldari - Aeldari Library.cat
1fbf-55d9-5ca8-4e9e,Aeldari - Aeldari Library,Prince Yriel [Legends],3,3+,,4,"7""",6+,1,100,1,1,,,model,Aeldari - Aeldari Library.cat
b98b-701f-9c0c-5437,Aeldari - Aeldari Library,Rangers,3,5+,,1,"7""",7+,1,55,5,10,,,unit,Aeldari - Aeldari Library.cat
8c34-52ba-cbd0-9ca4,Aeldari - Aeldari Library,Shadowseer,3,6+,,4,"8""",6+,1,60,1,1,,,model,Aeldari - Aeldari Library.cat
433-faed-ea62-c531,Aeldari - Aeldari Library,Shining Spears,4,3+,,2,"14""",6+,2,110,3,6,,,unit,Aeldari - Aeldari Library.cat
c1ff-dc11-9853-e3e3,Aeldari - Aeldari Library,Shroud Runners,4,5+,,3,"14""",7+,2,80,3,6,,,unit,Aeldari - Aeldari Library.cat
9270-4b93-ca59-f3ed,Aeldari - Aeldari Library,Skyweavers,4,4+,,3,"14""",6+,2,95,2,4,,,unit,Aeldari - Aeldari Library.cat
f88f-60c5-3daf-3d2f,Aeldari - Aeldari Library,Solitaire,3,6+,,4,"12""",6+,1,115,1,1,,,model,Aeldari - Aeldari Library.cat
e53b-7d09-eb7c-c6c7,Aeldari - Aeldari Library,Spiritseer,3,6+,,3,"7""",6+,1,65,1,1,,,model,Aeldari - Aeldari Library.cat
854b-f8e-28fa-8c24,Aeldari - Aeldari Library,Starweaver,6,4+,,6,"14""",6+,2,80,1,1,,,model,Aeldari - Aeldari Library.cat
5452-c4a7-59fb-f05c,Aeldari - Aeldari Library,Storm Guardians,3,4+,,2,"7""",7+,0,110,11,11,,,unit,Aeldari - Aeldari Library.cat
c90f-a8e5-6afa-eb91,Aeldari - Aeldari Library,Striking Scorpions,3,3+,,1,"7""",6+,1,85,5,10,,,unit,Aeldari - Aeldari Library.cat
82ac-7d93-df55-5504,Aeldari - Aeldari Library,D-Cannon Platform,6,4+,,5,"7""",7+,1,125,1,1,,,model,Aeldari - Aeldari Library.cat
240f-70a4-7ba7-a538,Aeldari - Aeldari Library,Swooping Hawks,3,4+,,1,"14""",6+,1,95,5,10,,,unit,Aeldari - Aeldari Library.cat
dd79-c2fe-59d6-d2,Aeldari - Aeldari Library,The Visarch,3,2+,,5,"8""",6+,1,90,1,1,,,model,Aeldari - Aeldari Library.cat
