faction,unit_name,selection_type,unit_id,source_file,unit_points,models_min,models_max,weapon_id,weapon_name,weapon_type,range_inches,attacks,skill,strength,ap,damage,attacks_average,strength_average,damage_average,attacks_parse_status,strength_parse_status,damage_parse_status,raw_damage_throughput,keywords,hit_modifier,wound_modifier,reroll_hits,reroll_wounds,lethal_hits,sustained_hits,devastating_wounds
Aeldari - Aeldari Library,Amallyn Shadowguide [Legends],model,965e-3df7-287a-6ac0,Aeldari - Aeldari Library.cat,75,1,1,965e-3df7-287a-6ac0:power-blade,Power blade,melee,,4,3+,4,-2,1,4.00,4.00,1.00,ok,ok,ok,4.00,-,,,,,,,
Aeldari - Aeldari Library,Amallyn Shadowguide [Legends],model,965e-3df7-287a-6ac0,Aeldari - Aeldari Library.cat,75,1,1,965e-3df7-287a-6ac0:ranger-long-rifle,Ranger long rifle,ranged,36,1,3+,4,-1,2,1.00,4.00,2.00,ok,ok,ok,2.00,"Heavy, Precision",,,,,,,
Aeldari - Aeldari Library,Archon,model,5c1c-fa4a-3234-c711,Aeldari - Aeldari Library.cat,80,1,1,5c1c-fa4a-3234-c711:agoniser,Agoniser,melee,,6,2+,3,-2,1,6.00,3.00,1.00,ok,ok,ok,6.00,Anti-Infantry 3+,,,,,,,
Aeldari - Aeldari Library,Archon,model,5c1c-fa4a-3234-c711,Aeldari - Aeldari Library.cat,80,1,1,5c1c-fa4a-3234-c711:blast-pistol,Blast pistol,ranged,6,1,2+,8,-3,D3,1.00,8.00,2.00,ok,ok,ok,2.00,Pistol,,,,,,,
Aeldari - Aeldari Library,Archon,model,5c1c-fa4a-3234-c711,Aeldari - Aeldari Library.cat,80,1,1,5c1c-fa4a-3234-c711:huskblade,Huskblade,melee,,4,2+,3,-2,3,4.00,3.00,3.00,ok,ok,ok,12.00,Devastating Wounds,,,,,,,
Aeldari - Aeldari Library,Archon,model,5c1c-fa4a-3234-c711,Aeldari - Aeldari Library.cat,80,1,1,5c1c-fa4a-3234-c711:master-crafted-power-weapon,Master-crafted power weapon,melee,,5,2+,4,-2,2,5.00,4.00,2.00,ok,ok,ok,10.00,-,,,,,,,
Aeldari - Aeldari Library,Archon,model,5c1c-fa4a-3234-c711,Aeldari - Aeldari Library.cat,80,1,1,5c1c-fa4a-3234-c711:splinter-pistol,Splinter pistol,ranged,12,1,2+,2,0,1,1.00,2.00,1.00,ok,ok,ok,1.00,"Anti-Infantry 3+, Assault, Pistol",,,,,,,
Aeldari - Aeldari Library,Archtormentor [Crucible],model,62f8-6a75-5ffb-e83b,Aeldari - Aeldari Library.cat,60,1,1,62f8-6a75-5ffb-e83b:agoniser,Agoniser,melee,,6,2+,3,-2,1,6.00,3.00,1.00,ok,ok,ok,6.00,Anti-Infantry 3+,,,,,,,
Aeldari - Aeldari Library,Archtormentor [Crucible],model,62f8-6a75-5ffb-e83b,Aeldari - Aeldari Library.cat,60,1,1,62f8-6a75-5ffb-e83b:archite-glaive-and-agoniser,Archite glaive and agoniser,melee,,7,2+,3,-2,1,7.00,3.00,1.00,ok,ok,ok,7.00,"Anti-Infantry 3+, Precision",,,,,,,
Aeldari - Aeldari Library,Archtormentor [Crucible],model,62f8-6a75-5ffb-e83b,Aeldari - Aeldari Library.cat,60,1,1,62f8-6a75-5ffb-e83b:bladevanes,Bladevanes,melee,,4,2+,4,-1,1,4.00,4.00,1.00,ok,ok,ok,4.00,"Extra Attacks, Lance",,,,,,,
Aeldari - Aeldari Library,Archtormentor [Crucible],model,62f8-6a75-5ffb-e83b,Aeldari - Aeldari Library.cat,60,1,1,62f8-6a75-5ffb-e83b:blast-pistol,Blast Pistol,ranged,6,1,2+,8,-3,D3,1.00,8.00,2.00,ok,ok,ok,2.00,Pistol,,,,,,,
Aeldari - Aeldari Library,Archtormentor [Crucible],model,62f8-6a75-5ffb-e83b,Aeldari - Aeldari Library.cat,60,1,1,62f8-6a75-5ffb-e83b:blaster,Blaster,ranged,18,1,2+,8,-4,D6+1,1.00,8.00,4.50,ok,ok,ok,4.50,Assault,,,,,,,
Aeldari - Aeldari Library,Archtormentor [Crucible],model,62f8-6a75-5ffb-e83b,Aeldari - Aeldari Library.cat,60,1,1,62f8-6a75-5ffb-e83b:haemonculus-tools-and-scissorhands,Haemonculus tools and scissorhands,melee,,5,2+,3,-1,D3,5.00,3.00,2.00,ok,ok,ok,10.00,"Anti-Infantry 2+, Precision",,,,,,,
Aeldari - Aeldari Library,Archtormentor [Crucible],model,62f8-6a75-5ffb-e83b,Aeldari - Aeldari Library.cat,60,1,1,62f8-6a75-5ffb-e83b:heat-lance,Heat Lance,ranged,18,1,2+,14,-4,D6,1.00,14.00,3.50,ok,ok,ok,3.50,"Assault, Melta 3",,,,,,,
Aeldari - Aeldari Library,Archtormentor [Crucible],model,62f8-6a75-5ffb-e83b,Aeldari - Aeldari Library.cat,60,1,1,62f8-6a75-5ffb-e83b:hellglaive,Hellglaive,melee,,5,2+,4,-1,2,5.00,4.00,2.00,ok,ok,ok,10.00,"Lance, Sustained Hits 1",,,,,,,
Aeldari - Aeldari Library,Archtormentor [Crucible],model,62f8-6a75-5ffb-e83b,Aeldari - Aeldari Library.cat,60,1,1,62f8-6a75-5ffb-e83b:huskblade,Huskblade,melee,,4,2+,3,-2,3,4.00,3.00,3.00,ok,ok,ok,12.00,Devastating Wounds,,,,,,,
Aeldari - Aeldari Library,Archtormentor [Crucible],model,62f8-6a75-5ffb-e83b,Aeldari - Aeldari Library.cat,60,1,1,62f8-6a75-5ffb-e83b:power-weapon,Power Weapon,melee,,5,2+,4,-2,2,5.00,4.00,2.00,ok,ok,ok,10.00,-,,,,,,,
Aeldari - Aeldari Library,Archtormentor [Crucible],model,62f8-6a75-5ffb-e83b,Aeldari - Aeldari Library.cat,60,1,1,62f8-6a75-5ffb-e83b:shardcarbine,Shardcarbine,ranged,18,2,2+,2,0,1,2.00,2.00,1.00,ok,ok,ok,2.00,"Anti-Infantry 3+, Assault",,,,,,,
Aeldari - Aeldari Library,Archtormentor [Crucible],model,62f8-6a75-5ffb-e83b,Aeldari - Aeldari Library.cat,60,1,1,62f8-6a75-5ffb-e83b:splinter-pistol,Splinter Pistol,ranged,12,1,2+,2,0,1,1.00,2.00,1.00,ok,ok,ok,1.00,"Anti-Infantry 3+, Assault, Pistol",,,,,,,
Aeldari - Aeldari Library,Archtormentor [Crucible],model,62f8-6a75-5ffb-e83b,Aeldari - Aeldari Library.cat,60,1,1,62f8-6a75-5ffb-e83b:splinter-pods,Splinter Pods,ranged,18,2,2+,2,0,1,2.00,2.00,1.00,ok,ok,ok,2.00,"Anti-Infantry 3+, Assault",,,,,,,
Aeldari - Aeldari Library,Archtormentor [Crucible],model,62f8-6a75-5ffb-e83b,Aeldari - Aeldari Library.cat,60,1,1,62f8-6a75-5ffb-e83b:splinter-rifle,Splinter Rifle,ranged,24,2,2+,2,0,1,2.00,2.00,1.00,ok,ok,ok,2.00,"Anti-Infantry 3+, Assault",,,,,,,
Aeldari - Aeldari Library,Archtormentor [Crucible],model,62f8-6a75-5ffb-e83b,Aeldari - Aeldari Library.cat,60,1,1,62f8-6a75-5ffb-e83b:stinger-pistol,Stinger Pistol,ranged,12,1,2+,2,-1,D3,1.00,2.00,2.00,ok,ok,ok,2.00,"Anti-Infantry 2+, Pistol, Precision",,,,,,,
