faction,unit_name,selection_type,unit_id,source_file,source_type,source_id,ability_id,ability_name,text
Aeldari - Aeldari Library,Amallyn Shadowguide [Legends],model,965e-3df7-287a-6ac0,Aeldari - Aeldari Library.cat,unit,965e-3df7-287a-6ac0,965e-3df7-287a-6ac0:invulnerable-save:dab-a8fc-aeb4-f9cc,Invulnerable Save,This unit has a 4+ invulnerable save.
Aeldari - Aeldari Library,Amallyn Shadowguide [Legends],model,965e-3df7-287a-6ac0,Aeldari - Aeldari Library.cat,unit,965e-3df7-287a-6ac0,965e-3df7-287a-6ac0:path-of-the-outcast:87f0-5086-a40b-d510,Path of the Outcast,"Once per turn, when an enemy unit ends a Normal, Advance or Fall Back move within 9"" of this model, if this model is not within Engagement Range of one or more enemy units, it can make a Normal move of up to D6."
Aeldari - Aeldari Library,Amallyn Shadowguide [Legends],model,965e-3df7-287a-6ac0,Aeldari - Aeldari Library.cat,unit,965e-3df7-287a-6ac0,965e-3df7-287a-6ac0:the-path-least-travelled:c322-ec5c-5b1-6713,The Path Least Travelled,"If your army includes this model, after both players have deployed their armies and determined who has the first turn, you can select one ^^Rangers^^ or ^^Shroud Runners^^ unit from your army and redeploy that unit. When doing so, that unit can be placed into Strategic Reserves, regardless of how many units are already in Strategic Reserves."
Aeldari - Aeldari Library,Archon,model,5c1c-fa4a-3234-c711,Aeldari - Aeldari Library.cat,unit,5c1c-fa4a-3234-c711,5c1c-fa4a-3234-c711:devious-mastermind:e713-b966-c181-4cc7,Devious Mastermind,"Once per battle round, one model from your army with this ability can use it when its unit is targeted with a stratagem. If it does, reduce the CP cost of that use of that Stratagem by 1CP."
Aeldari - Aeldari Library,Archon,model,5c1c-fa4a-3234-c711,Aeldari - Aeldari Library.cat,unit,5c1c-fa4a-3234-c711,5c1c-fa4a-3234-c711:hatred-eternal-(pain):5b90-2ff8-3fd5-83b4,Hatred Eternal (Pain),"In your Shooting or the Fight phase, when you select this model's unit to shoot or fight, you can spend 1 Pain token to Empower that unit. While that unit is Empowered, each time a model in that unit makes an attack, you can re-roll the Hit roll."
Aeldari - Aeldari Library,Archon,model,5c1c-fa4a-3234-c711,Aeldari - Aeldari Library.cat,unit,5c1c-fa4a-3234-c711,5c1c-fa4a-3234-c711:invulnerable-save:cf9c-beff-c4be-f7ed,Invulnerable Save,This unit has a 2+ invulnerable save. (See Shadowfield ability)
Aeldari - Aeldari Library,Archon,model,5c1c-fa4a-3234-c711,Aeldari - Aeldari Library.cat,unit,5c1c-fa4a-3234-c711,5c1c-fa4a-3234-c711:leader:3be-fb9e-8fc9-71e3,Leader,"This model can be attached to the following units:
■ Hand of the Archon
■ Incubi
■ Kabalite Warriors"
Aeldari - Aeldari Library,Archon,model,5c1c-fa4a-3234-c711,Aeldari - Aeldari Library.cat,unit,5c1c-fa4a-3234-c711,5c1c-fa4a-3234-c711:overlord:78c2-e0e4-a2a7-71da,Overlord,"Once per battle, at the start of any phase, you can select one friendly ^^**Drukhari**^^ unit that is Battle-shocked and within 12"" of this model. That unit is no longer Battle-shocked."
Aeldari - Aeldari Library,Archon,model,5c1c-fa4a-3234-c711,Aeldari - Aeldari Library.cat,unit,5c1c-fa4a-3234-c711,5c1c-fa4a-3234-c711:shadowfield:e9c3-fd99-a21e-bcac,Shadowfield,"You cannot re-roll invulnerable saving throws made for the bearer. The first time an invulnerable saving throw made for the bearer is failed, until the end of the battle, the bearer has no invulnerable save."
Aeldari - Aeldari Library,Archtormentor [Crucible],model,62f8-6a75-5ffb-e83b,Aeldari - Aeldari Library.cat,unit,62f8-6a75-5ffb-e83b,62f8-6a75-5ffb-e83b:cruel-example:62c2-b1f0-89ec-a3dc,Cruel Example,"Each time this model makes an attack that targets a CHARACTER unit, you can add 1 to the Wound roll. Each time this model’s unit destroys a CHARACTER model, you gain 1CP."
Aeldari - Aeldari Library,Archtormentor [Crucible],model,62f8-6a75-5ffb-e83b,Aeldari - Aeldari Library.cat,unit,62f8-6a75-5ffb-e83b,62f8-6a75-5ffb-e83b:hatred-eternal-(pain):9ec4-2cfc-cfb5-ce12,Hatred Eternal (Pain),"In your Shooting phase or the Fight phase, when you select this model’s unit to shoot or fight, you can spend 1 Pain token to Empower that unit. While that unit is Empowered, each time a model in that unit makes an attack, you can re-roll the Hit roll."
Aeldari - Aeldari Library,Archtormentor [Crucible],model,62f8-6a75-5ffb-e83b,Aeldari - Aeldari Library.cat,unit,62f8-6a75-5ffb-e83b,62f8-6a75-5ffb-e83b:invulnerable-save-(archtormentor):ce84-d6ca-f39c-e79d,Invulnerable Save (Archtormentor),An Archtormentor has a 4+ Invulnerable save
Aeldari - Aeldari Library,Archtormentor [Crucible],model,62f8-6a75-5ffb-e83b,Aeldari - Aeldari Library.cat,unit,62f8-6a75-5ffb-e83b,62f8-6a75-5ffb-e83b:leader:0b73-fd55-e4e6-c24c,Leader,"This model can be attached to the following units:
■ Wyches"
