faction,unit_name,selection_type,unit_id,source_file,points,models_min,models_max,total_weapons,ranged_weapons,melee_weapons,coverage
Aeldari - Aeldari Library,Amallyn Shadowguide [Legends],model,965e-3df7-287a-6ac0,Aeldari - Aeldari Library.cat,75,1,1,2,1,1,both
Aeldari - Aeldari Library,Archon,model,5c1c-fa4a-3234-c711,Aeldari - Aeldari Library.cat,15,1,1,5,2,3,both
Aeldari - Aeldari Library,Archtormentor [Crucible],model,62f8-6a75-5ffb-e83b,Aeldari - Aeldari Library.cat,0,1,1,18,8,10,both
Aeldari - Aeldari Library,Arena Champion,model,d0d6-4170-a69d-1196,Aeldari - Aeldari Library.cat,,1,1,6,4,2,both
Aeldari - Aeldari Library,Asurmen,model,828d-840a-9a67-9074,Aeldari - Aeldari Library.cat,0,1,1,2,1,1,both
Aeldari - Aeldari Library,Autarch,model,df57-7a59-75eb-ce63,Aeldari - Aeldari Library.cat,15,1,1,9,6,3,both
Aeldari - Aeldari Library,Autarch Skyrunner [Legends],model,69f4-c990-93b4-20fc,Aeldari - Aeldari Library.cat,15,1,1,5,3,2,both
Aeldari - Aeldari Library,Autarch Wayleaper,model,497a-263e-966a-5a15,Aeldari - Aeldari Library.cat,15,1,1,9,6,3,both
Aeldari - Aeldari Library,Avatar of Khaine,model,554c-8b4f-1059-28a7,Aeldari - Aeldari Library.cat,0,1,1,3,1,2,both
Aeldari - Aeldari Library,Baharroth,model,8732-df2f-a542-805f,Aeldari - Aeldari Library.cat,0,1,1,2,1,1,both
Aeldari - Aeldari Library,Beastmaster,model,3dd7-f29e-4f39-fa99,Aeldari - Aeldari Library.cat,15,1,1,2,1,1,both
Aeldari - Aeldari Library,Beastmaster [Legends],unit,f99a-af49-64c0-9bed,Aeldari - Aeldari Library.cat,135,7,7,5,1,4,both
Aeldari - Aeldari Library,Cobra [Legends],model,e2ad-60b4-9678-88aa,Aeldari - Aeldari Library.cat,0,1,1,8,7,1,both
Aeldari - Aeldari Library,Corsair Cloud Dancer,model,f3ed-2ed0-5496-677e,Aeldari - Aeldari Library.cat,,1,1,7,6,1,both
Aeldari - Aeldari Library,Corsair Cloud Dancer Band [Legends],unit,790d-9fdf-b359-62ba,Aeldari - Aeldari Library.cat,105,3,7,9,7,2,both
Aeldari - Aeldari Library,Court of the Archon [Legends],unit,b221-43a3-8bee-117c,Aeldari - Aeldari Library.cat,95,4,4,7,3,4,both
Aeldari - Aeldari Library,Craftworld Warleader [Crucible],model,8e2c-2234-8595-f191,Aeldari - Aeldari Library.cat,15,1,1,30,20,10,both
Aeldari - Aeldari Library,Crimson Hunter,model,90c9-aaac-5ef8-f043,Aeldari - Aeldari Library.cat,0,1,1,4,3,1,both
Aeldari - Aeldari Library,Cronos,unit,a5d3-e21b-bf13-a952,Aeldari - Aeldari Library.cat,55,1,2,3,2,1,both
Aeldari - Aeldari Library,Cronos,model,f79-710f-8626-e3a8,Aeldari - Aeldari Library.cat,,1,1,3,2,1,both
Aeldari - Aeldari Library,D-Cannon Platform,model,82ac-7d93-df55-5504,Aeldari - Aeldari Library.cat,125,1,1,3,2,1,both
Aeldari - Aeldari Library,Dark Reaper,model,c987-279a-41a9-cf8d,Aeldari - Aeldari Library.cat,0,1,1,3,2,1,both
Aeldari - Aeldari Library,Dark Reaper Exarch,model,d6b7-fd85-14f8-eb54,Aeldari - Aeldari Library.cat,0,1,1,7,6,1,both
Aeldari - Aeldari Library,Dark Reapers,unit,6863-bf42-238a-fd0b,Aeldari - Aeldari Library.cat,90,5,10,7,6,1,both
Aeldari - Aeldari Library,Death Jester,model,5768-1f87-3a16-d901,Aeldari - Aeldari Library.cat,15,1,1,2,1,1,both
Aeldari - Aeldari Library,Dire Avenger,model,b542-fa0c-e63b-53dc,Aeldari - Aeldari Library.cat,,1,1,2,1,1,both
Aeldari - Aeldari Library,Dire Avenger Exarch,model,3bfb-bdff-19cf-570d,Aeldari - Aeldari Library.cat,,1,1,5,2,3,both
Aeldari - Aeldari Library,Dire Avengers,unit,e6c2-f3b2-6d3e-c3d3,Aeldari - Aeldari Library.cat,75,5,10,5,2,3,both
Aeldari - Aeldari Library,Eldrad Ulthran,model,f48e-276e-a997-c90e,Aeldari - Aeldari Library.cat,0,1,1,3,2,1,both
Aeldari - Aeldari Library,Falcon,model,1d83-167-486c-bac4,Aeldari - Aeldari Library.cat,0,1,1,9,8,1,both
Aeldari - Aeldari Library,Farseer,model,b2f5-8219-f875-917e,Aeldari - Aeldari Library.cat,15,1,1,4,3,1,both
Aeldari - Aeldari Library,Farseer Skyrunner,model,833b-55bc-73be-8862,Aeldari - Aeldari Library.cat,15,1,1,5,4,1,both
Aeldari - Aeldari Library,Fire Dragon,model,b164-9141-3a78-fb7b,Aeldari - Aeldari Library.cat,,1,1,2,1,1,both
Aeldari - Aeldari Library,Fire Dragon Exarch,model,28a8-c192-56f-8b00,Aeldari - Aeldari Library.cat,,1,1,6,4,2,both
Aeldari - Aeldari Library,Fire Dragons,unit,5374-9e93-8af2-819e,Aeldari - Aeldari Library.cat,120,5,10,7,5,2,both
Aeldari - Aeldari Library,Fire Prism,model,9940-a69b-682e-ccf4,Aeldari - Aeldari Library.cat,150,1,1,5,4,1,both
Aeldari - Aeldari Library,Firestorm [Legends],model,d11f-239d-94b4-c194,Aeldari - Aeldari Library.cat,115,1,1,4,3,1,both
Aeldari - Aeldari Library,Flesh Crafter [Crucible],model,b5a1-7e2b-7a1d-bbda,Aeldari - Aeldari Library.cat,0,1,1,18,8,10,both
Aeldari - Aeldari Library,Fuegan,model,9262-3993-1368-be5a,Aeldari - Aeldari Library.cat,0,1,1,3,2,1,both
Aeldari - Aeldari Library,Ghost Warrior [Crucible],model,5578-f918-6e88-3d0e,Aeldari - Aeldari Library.cat,0,1,1,30,20,10,both
Aeldari - Aeldari Library,Grotesque w/ Liquifier,model,2f2c-ecf4-fcf9-1cac,Aeldari - Aeldari Library.cat,,1,1,2,1,1,both
Aeldari - Aeldari Library,Grotesques [Legends],unit,d729-7e1f-93a9-b1c5,Aeldari - Aeldari Library.cat,80,3,6,3,1,2,both
Aeldari - Aeldari Library,Guardian Defender,model,aadc-3bf5-718f-9b32,Aeldari - Aeldari Library.cat,,1,1,2,1,1,both
Aeldari - Aeldari Library,Guardian Defenders,unit,e78a-4442-4ed2-66bf,Aeldari - Aeldari Library.cat,100,11,11,8,7,1,both
Aeldari - Aeldari Library,Haemonculus,model,32ff-aec4-9669-c8a2,Aeldari - Aeldari Library.cat,15,1,1,2,1,1,both
Aeldari - Aeldari Library,Heavy Weapon Platform,model,a0fe-e6a5-ab71-82ca,Aeldari - Aeldari Library.cat,0,1,1,7,6,1,both
Aeldari - Aeldari Library,Hekatrix,model,c24e-160d-1ec2-34c4,Aeldari - Aeldari Library.cat,,1,1,3,2,1,both
Aeldari - Aeldari Library,Hellions,unit,2311-9feb-9d0a-8154,Aeldari - Aeldari Library.cat,85,4,9,5,2,3,both
Aeldari - Aeldari Library,Hemlock Wraithfighter,model,551b-900c-3681-8f11,Aeldari - Aeldari Library.cat,155,1,1,2,1,1,both
Aeldari - Aeldari Library,Hornet [Legends],model,1224-8735-46d-1919,Aeldari - Aeldari Library.cat,0,1,1,8,7,1,both
Aeldari - Aeldari Library,Howling Banshee,model,11cf-b2e1-4900-d949,Aeldari - Aeldari Library.cat,,1,1,2,1,1,both
Aeldari - Aeldari Library,Howling Banshee Exarch,model,7fe3-e0ce-74fa-d501,Aeldari - Aeldari Library.cat,,1,1,5,1,4,both
Aeldari - Aeldari Library,Howling Banshees,unit,7fcb-9262-474a-7cec,Aeldari - Aeldari Library.cat,95,5,10,5,1,4,both
Aeldari - Aeldari Library,Illic Nightspear [Legends],model,2713-f82d-5189-d5de,Aeldari - Aeldari Library.cat,0,1,1,3,2,1,both
Aeldari - Aeldari Library,Jain Zar,model,77f9-e8de-225f-9e68,Aeldari - Aeldari Library.cat,0,1,1,2,1,1,both
Aeldari - Aeldari Library,Kabalite Warriors,unit,d20b-783-ccf6-b29d,Aeldari - Aeldari Library.cat,115,9,9,9,7,2,both
Aeldari - Aeldari Library,Karandras [Legends],model,c9ed-d190-419c-78d3,Aeldari - Aeldari Library.cat,0,1,1,2,1,1,both
Aeldari - Aeldari Library,Kharseth,model,4273-173c-e850-4071,Aeldari - Aeldari Library.cat,15,1,1,2,1,1,both
Aeldari - Aeldari Library,Lhykhis,model,8bbc-7ae0-5d5c-a105,Aeldari - Aeldari Library.cat,0,1,1,3,1,2,both
Aeldari - Aeldari Library,Lynx [Legends],model,e3c5-54ef-44a5-9366,Aeldari - Aeldari Library.cat,0,1,1,8,7,1,both
Aeldari - Aeldari Library,Mandrakes,unit,6a3a-7973-b509-532e,Aeldari - Aeldari Library.cat,75,4,9,2,1,1,both
Aeldari - Aeldari Library,Night Spinner,model,908a-fc2b-5a53-599f,Aeldari - Aeldari Library.cat,190,1,1,4,3,1,both
Aeldari - Aeldari Library,Nightwing [Legends],model,af2e-2bff-9813-a5a3,Aeldari - Aeldari Library.cat,0,1,1,3,2,1,both
Aeldari - Aeldari Library,Phantom Titan,model,79b3-2cd1-d7b4-d7b1,Aeldari - Aeldari Library.cat,2100,1,1,8,5,3,both
Aeldari - Aeldari Library,Phoenix [Legends],model,6083-affa-5163-a94c,Aeldari - Aeldari Library.cat,175,1,1,4,3,1,both
Aeldari - Aeldari Library,Prince Yriel,model,54dc-aa1f-817a-a5c5,Aeldari - Aeldari Library.cat,15,1,1,3,2,1,both
Aeldari - Aeldari Library,Prince Yriel [Legends],model,1fbf-55d9-5ca8-4e9e,Aeldari - Aeldari Library.cat,0,1,1,2,1,1,both
Aeldari - Aeldari Library,Raider,model,635b-21f4-f801-453,Aeldari - Aeldari Library.cat,85,1,1,3,2,1,both
Aeldari - Aeldari Library,Ranger,model,d1e-aa3a-e9b2-9bef,Aeldari - Aeldari Library.cat,0,1,1,3,2,1,both
Aeldari - Aeldari Library,Rangers,unit,b98b-701f-9c0c-5437,Aeldari - Aeldari Library.cat,55,5,10,3,2,1,both
Aeldari - Aeldari Library,Ravager,model,3376-d337-6a33-4bca,Aeldari - Aeldari Library.cat,110,1,1,3,2,1,both
Aeldari - Aeldari Library,Raven Strike Fighter [Legends],model,28c1-2c51-ab58-2d91,Aeldari - Aeldari Library.cat,170,1,1,3,2,1,both
Aeldari - Aeldari Library,Razorwing Jetfighter,model,fbc4-c7d0-db5b-91c,Aeldari - Aeldari Library.cat,170,1,1,8,7,1,both
Aeldari - Aeldari Library,Reaper [Legends],model,a228-7269-9961-daf4,Aeldari - Aeldari Library.cat,115,1,1,4,2,2,both
Aeldari - Aeldari Library,Reaver,model,783f-9571-8ec0-7614,Aeldari - Aeldari Library.cat,,1,1,3,2,1,both
Aeldari - Aeldari Library,Reaver with Blaster,model,26bf-b7d3-80f0-2ab7,Aeldari - Aeldari Library.cat,,1,1,3,2,1,both
Aeldari - Aeldari Library,Reaver with Heat Lance,model,f427-9992-bcb2-4836,Aeldari - Aeldari Library.cat,,1,1,3,2,1,both
Aeldari - Aeldari Library,Reavers,unit,2c3a-9752-2516-69ab,Aeldari - Aeldari Library.cat,70,3,6,5,4,1,both
Aeldari - Aeldari Library,Revenant Titan,model,ca40-4a0d-567-852,Aeldari - Aeldari Library.cat,1100,1,1,4,3,1,both
Aeldari - Aeldari Library,Scorpion [Legends],model,1420-c80d-66fc-6a,Aeldari - Aeldari Library.cat,0,1,1,8,7,1,both
Aeldari - Aeldari Library,Scourges with Heavy Weapons,unit,7c93-baac-e65f-58bd,Aeldari - Aeldari Library.cat,130,4,4,11,9,2,both
Aeldari - Aeldari Library,Scourges with Shardcarbines,unit,f2d1-4574-223f-998f,Aeldari - Aeldari Library.cat,75,4,4,7,5,2,both
Aeldari - Aeldari Library,Shadow Spectre,model,4583-2da0-623e-fd4a,Aeldari - Aeldari Library.cat,,1,1,3,2,1,both
Aeldari - Aeldari Library,Shadow Spectre Exarch,model,b7d6-2303-bd6a-5291,Aeldari - Aeldari Library.cat,30,1,1,3,2,1,both
Aeldari - Aeldari Library,Shadow Spectres [Legends],unit,9c94-b663-fd31-6001,Aeldari - Aeldari Library.cat,115,5,11,3,2,1,both
Aeldari - Aeldari Library,Shadow Weaver Platform,model,2c93-f32d-64ea-b829,Aeldari - Aeldari Library.cat,75,1,1,3,2,1,both
Aeldari - Aeldari Library,Shadowseer,model,8c34-52ba-cbd0-9ca4,Aeldari - Aeldari Library.cat,15,1,1,3,2,1,both
Aeldari - Aeldari Library,Shining Spear Exarch,model,d7f7-e77e-6f54-a9a,Aeldari - Aeldari Library.cat,,1,1,5,4,1,both
Aeldari - Aeldari Library,Shining Spears,unit,433-faed-ea62-c531,Aeldari - Aeldari Library.cat,110,3,6,5,4,1,both
Aeldari - Aeldari Library,Shroud Runner,model,b4d4-c894-1b5f-88b2,Aeldari - Aeldari Library.cat,0,1,1,4,3,1,both
Aeldari - Aeldari Library,Shroud Runners,unit,c1ff-dc11-9853-e3e3,Aeldari - Aeldari Library.cat,80,3,6,4,3,1,both
Aeldari - Aeldari Library,Skathach Wraithknight [Legends],model,5f15-8ad-1f3b-d6d1,Aeldari - Aeldari Library.cat,0,1,1,7,6,1,both
Aeldari - Aeldari Library,Skyrunner [Crucible],model,915f-4ee6-3358-31ca,Aeldari - Aeldari Library.cat,0,1,1,30,20,10,both
Aeldari - Aeldari Library,Skyweaver,model,ca42-3b82-829d-eaf3,Aeldari - Aeldari Library.cat,0,1,1,5,3,2,both
Aeldari - Aeldari Library,Skyweavers,unit,9270-4b93-ca59-f3ed,Aeldari - Aeldari Library.cat,95,2,4,5,3,2,both
Aeldari - Aeldari Library,Spiritseer,model,e53b-7d09-eb7c-c6c7,Aeldari - Aeldari Library.cat,15,1,1,2,1,1,both
Aeldari - Aeldari Library,Starfang,model,f972-78f9-204e-d55c,Aeldari - Aeldari Library.cat,75,1,1,3,2,1,both
