ability_id,source_type,source_id,name,text,source_file
828d-840a-9a67-9074:invulnerable-save-(asurmen):d953-7284-3e17-61a,unit,828d-840a-9a67-9074,Invulnerable Save (Asurmen),Asurmen has a 4+ Invulnerable save,Aeldari - Aeldari Library.cat
828d-840a-9a67-9074:hand-of-asuryan:cac4-9ec2-1044-a28a,unit,828d-840a-9a67-9074,Hand of Asuryan,"Once per battle, when this model is selected to shoot, it can use this ability. If it does, until the end of the phase, its Bloody Twins weapon has a Damage characteristic of 3 and the [Anti-Infantry 5+] and [Devastating Wounds] abilities.",Aeldari - Aeldari Library.cat
828d-840a-9a67-9074:tactical-acumen:e574-c4c7-b1dc-e9e7,unit,828d-840a-9a67-9074,Tactical Acumen,"While this model is leading a unit, in your Shooting phase, after that unit has shot, it can make a Normal move of up to 6"". If it does, until the end of the turn, that unit is not eligible to declare a charge.",Aeldari - Aeldari Library.cat
828d-840a-9a67-9074:leader:718f-8b96-eb96-a5be,unit,828d-840a-9a67-9074,Leader,"This model can be attached to the following unit:
■ Dire Avengers",Aeldari - Aeldari Library.cat
69f4-c990-93b4-20fc:path-of-command:5237-b26c-1dbb-fc81,unit,69f4-c990-93b4-20fc,Path of Command,"Once per battle round, one model from your army with this ability can use it when its unit is targeted with a Stratagem. If it does, reduce the CP cost of that usage of that Stratagem by 1CP.",Aeldari - Aeldari Library.cat
69f4-c990-93b4-20fc:invulnerable-save-(autarch):fee0-e369-19be-2164,unit,69f4-c990-93b4-20fc,Invulnerable Save (Autarch),An Autarch Skyrunner has a 4+ Invulnerable save,Aeldari - Aeldari Library.cat
69f4-c990-93b4-20fc:leader:9d25-456f-edfb-bf27,unit,69f4-c990-93b4-20fc,Leader,"This model can be attached to the following unit:
■ Windriders
■ Corsair Cloud Dancer Band",Aeldari - Aeldari Library.cat
69f4-c990-93b4-20fc:ride-the-wind:655e-c205-6e0f-7abf,unit,69f4-c990-93b4-20fc,Ride the WInd,"While this model is leading a unit, each time that unit Advances, do not make an Advance roll for it. Instead, until the end of the phase, add 6"" to the Move characteristic of models in that unit",Aeldari - Aeldari Library.cat
df57-7a59-75eb-ce63:superlative-strategist:3cab-f2a6-9680-b9ad,unit,df57-7a59-75eb-ce63,Superlative Strategist,"While this model is leading a unit, you can re-roll Advance rolls made for that unit, and you can re-roll any rolls made for that unit while it is performing an Agile Manoeuvre.",Aeldari - Aeldari Library.cat
df57-7a59-75eb-ce63:path-of-command:ef73-7885-790f-2bea,unit,df57-7a59-75eb-ce63,Path of Command,"Once per battle round, one model from your army with this ability can use it when its unit is targeted with a Stratagem. If it does, reduce the CP cost of that usage of that stratagem by 1CP.",Aeldari - Aeldari Library.cat
