keyword_id,keyword,description
aberrants,Aberrants,
acanthrites,Acanthrites,
accursed-cultists,Accursed Cultists,
achilles-ridgerunners,Achilles Ridgerunners,
acolyte-hybrids,Acolyte Hybrids,
acolyte-hybrids-with-autopistols,Acolyte Hybrids with Autopistols,
acolyte-hybrids-with-hand-flamers,Acolyte Hybrids with Hand Flamers,
adeptus-arbites,Adeptus Arbites,
aeldari,Aeldari,
aestred-thurga-and-agathae-dolan,Aestred Thurga and Agathae Dolan,
agamatus-custodians,Agamatus Custodians,
aggressor-squad,Aggressor Squad,
allarus-custodians,Allarus Custodians,
allied-units,Allied Units,
anathema-psykana,Anathema Psykana,
anhrathe,Anhrathe,
aquilon-custodians,Aquilon Custodians,
armoured-sentinels,Armoured Sentinels,
artillery,Artillery,
aspect-warrior,Aspect Warrior,
assault-intercessor-squad,Assault Intercessor Squad,
assault-intercessors-with-jump-packs,Assault Intercessors with Jump Packs,
assault-squad,Assault Squad,
assault-squad-with-jump-packs,Assault Squad with Jump Packs,
astartes-servitors,Astartes Servitors,
atalan-jackals,Atalan Jackals,
attack-bike-squad,Attack Bike Squad,
barbgaunts,Barbgaunts,
battle-sisters-squad,Battle Sisters Squad,
battleline,Battleline,
battlesuit,Battlesuit,
beast,Beast,
beast-snagga,Beast Snagga,
beast-snagga-boyz,Beast Snagga Boyz,
beasts-of-nurgle,Beasts of Nurgle,
berzerkers,Berzerkers,
beserks,Beserks,
big-gunz,Big Gunz,
bike-squad,Bike Squad,
biovore,Biovore,
bladeguard-veteran-squad,Bladeguard Veteran Squad,
blightlord-terminators,Blightlord Terminators,
blood-claws,Blood Claws,
bloodcrushers,Bloodcrushers,
bloodletters,Bloodletters,
boyz,Boyz,
breacher-team,Breacher Team,
breachers,Breachers,
breaka-boyz,Breaka Boyz,
broadside,Broadside,
brotherhood-terminator-squad,Brotherhood Terminator Squad,
brôkhyr,Brôkhyr,
bullgryn-squad,Bullgryn Squad,
burna-boyz,Burna Boyz,
burrowers,Burrowers,
cadian,Cadian,
cadian-heavy-weapons-squad,Cadian Heavy Weapons Squad,
cadian-shock-troops,Cadian Shock Troops,
canoptek,Canoptek,
carnifexes,Carnifexes,
carnivores,Carnivores,
catachan,Catachan,
catachan-heavy-weapons-squad,Catachan Heavy Weapons Squad,
catachan-jungle-fighters,Catachan Jungle Fighters,
celestian-sacresants,Celestian Sacresants,
centurion,Centurion,
centurion-assault-squad,Centurion Assault Squad,
centurion-devastator-squad,Centurion Devastator Squad,
chaos,Chaos,
chaos-bikers,Chaos Bikers,
chaos-spawn,Chaos Spawn,
chaos-terminator-squad,Chaos Terminator Squad,
character,Character,
chosen,Chosen,
command-squad,Command Squad,
company-heroes,Company Heroes,
company-veterans,Company Veterans,
convergence-of-dominion,Convergence of Dominion,
corpuscarii,Corpuscarii,
corsair-cloud-dancer-band,Corsair Cloud Dancer Band,
corsair-reaver-band,Corsair Reaver Band,
corsair-skyreaver-band,Corsair Skyreaver Band,
corsair-voidreavers,Corsair Voidreavers,
corsair-voidscarred,Corsair Voidscarred,
corsairs-and-travelling-players,Corsairs and Travelling Players,
court-of-the-archon,Court of the Archon,
crisis,Crisis,
cronos,Cronos,
crusader-squad,Crusader Squad,
