review_rank,review_priority,review_hint,unit_id,unit_name,faction_contains,selection_type,models_min,models_max,review_category,suggestion_score,suggestion_reason,suggested_guide_faction,suggested_guide_unit_name,suggested_guide_model_name,suggested_base_size_text,override_base_size_text,override_base_type,override_base_shape,override_base_width_mm,override_base_depth_mm,override_guide_faction,override_guide_unit_name,override_guide_model_name,review_decision,review_notes
1,review_suggestion_high,"Check whether this imported unit is the same datasheet as 'Commander in Enforcer Battlesuit'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",6de0-279f-b471-65ca,Commander in Crisis Battlesuit [Legends],Xenos - T'au Empire,model,1,1,unmatched_unit,0.86,name similarity 0.84; token overlap 0.60; faction compatible,T’AU EMPIRE,Commander in Enforcer Battlesuit,,60mm,,,,,,,,,,
2,review_suggestion_high,"Check whether this imported unit is the same datasheet as 'Crisis Fireknife Battlesuits'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",de16-2476-9749-b603,Crisis Battlesuits [Legends],Xenos - T'au Empire,unit,2,5,unmatched_unit,0.83,name similarity 0.78; token overlap 0.67; faction compatible,T’AU EMPIRE,Crisis Fireknife Battlesuits,,50mm,,,,,,,,,,
3,review_suggestion_high,"Check whether this imported unit is the same datasheet as 'Spectrus Kill Team'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",4681-2af4-acf9-2bce,Proteus Kill Team [Legends],Imperium - Agents of the Imperium,unit,10,20,unmatched_unit,0.81,name similarity 0.80; token overlap 0.50; faction compatible,DEATHWATCH,Spectrus Kill Team,Kill Team Infiltrators with bolt sniper rifles,40mm,,,,,,,,,,
4,review_suggestion_high,"Check whether this imported unit is the same datasheet as 'Stormtalon Gunship'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",3b8b-19bb-1855-98c5,Stormfang Gunship [Legends],Imperium - Adeptus Astartes - Space Wolves,model,1,1,unmatched_unit,0.81,name similarity 0.86; token overlap 0.33; faction compatible,SPACE MARINES,Stormtalon Gunship,,120x92mm Oval Base,,,,,,,,,,
5,review_suggestion_high,"Check whether this imported unit is the same datasheet as 'Canoptek Doomstalker'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",f868-afbc-9f6b-e4e9,Canoptek Tomb Stalker [Legends],Xenos - Necrons,model,1,1,unmatched_unit,0.80,name similarity 0.88; token overlap 0.25; faction compatible,NECRONS,Canoptek Doomstalker,,90mm,,,,,,,,,,
6,review_suggestion_high,"Check whether this imported unit is the same datasheet as 'Brutalis Dreadnought'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",525c-7e0-b0de-8a6f,Mortis Dreadnought [Legends],Imperium - Adeptus Astartes - Space Marines,model,1,1,unmatched_unit,0.79,name similarity 0.84; token overlap 0.33; faction compatible,SPACE MARINES,Brutalis Dreadnought,,90mm,,,,,,,,,,
7,review_suggestion_high,"Check whether this imported unit is the same datasheet as 'Cultist Mob'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",478-9d24-e5c8-c6f7,Cultist Mob with Firearms [Legends],Chaos - Chaos Space Marines,unit,10,20,unmatched_unit,0.78,name similarity 0.71; token overlap 0.67; faction compatible,CHAOS SPACE MARINES,Cultist Mob,,25mm,,,,,,,,,,
8,review_suggestion_high,"Check whether this imported unit is the same datasheet as 'Terminator Squad'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",9d3f-134e-1f5b-531a,Relic Terminator Squad [Legends],Imperium - Adeptus Astartes - Space Marines,unit,6,11,unmatched_unit,0.78,name similarity 0.77; token overlap 0.50; faction compatible,SPACE MARINES,Terminator Squad,,40mm,,,,,,,,,,
9,review_suggestion_high,"Check whether this imported unit is the same datasheet as 'Bladeguard Veteran Squad'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",f1b9-b2e8-4ccf-d6cb,Vanguard Veteran Squad [Legends],Imperium - Adeptus Astartes - Space Marines,unit,6,11,unmatched_unit,0.78,name similarity 0.82; token overlap 0.33; faction compatible,SPACE MARINES,Bladeguard Veteran Squad,,40mm,,,,,,,,,,
10,review_suggestion_high,"Check whether this imported unit is the same datasheet as 'Death Company Marines'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",bb83-db85-6ce1-9a61,Death Company Intercessors,Imperium - Adeptus Astartes - Blood Angels,unit,5,10,unmatched_unit,0.78,name similarity 0.77; token overlap 0.50; faction compatible,BLOOD ANGELS,Death Company Marines,,32mm,,,,,,,,,,
11,review_suggestion_high,"Check whether this imported unit is the same datasheet as 'Sanguinary Priest'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",fa13-ba8a-8711-87b6,Sanguinary Priest with Jump Pack [Legends],Imperium - Adeptus Astartes - Blood Angels,model,1,1,unmatched_unit,0.78,name similarity 0.77; token overlap 0.50; faction compatible,BLOOD ANGELS,Sanguinary Priest,,40mm,,,,,,,,,,
12,review_suggestion_high,"Check whether this imported unit is the same datasheet as 'Chaplain on Bike'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",33e2-3ddf-7063-df9e,Techmarine on Bike [Legends],Imperium - Adeptus Astartes - Space Marines,model,1,1,unmatched_unit,0.78,name similarity 0.76; token overlap 0.50; faction compatible,SPACE MARINES,Chaplain on Bike,,90x52.5mm Oval Base,,,,,,,,,,
13,review_suggestion_high,"Check whether this imported unit is the same datasheet as 'Land Raider'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",69d-a656-fde3-6c3e,Land Raider Banisher,Imperium - Grey Knights,model,1,1,unmatched_unit,0.78,name similarity 0.71; token overlap 0.67; faction compatible,GREY KNIGHTS,Land Raider,,Hull,,,,,,,,,,
14,review_suggestion_high,"Check whether this imported unit is the same datasheet as 'Razorback'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",2a4c-d1a-95c9-f4cf,Relic Razorback [Legends],Imperium - Adeptus Astartes - Space Marines,model,1,1,unmatched_unit,0.77,name similarity 0.75; token overlap 0.50; faction compatible,SPACE MARINES,Razorback,,Hull,,,,,,,,,,
15,review_suggestion_high,"Check whether this imported unit is the same datasheet as 'Land Raider'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",c8e1-69a5-1121-6f79,Land Raider Excelsior [Legends],Imperium - Adeptus Astartes - Space Marines,model,1,1,unmatched_unit,0.76,name similarity 0.69; token overlap 0.67; faction compatible,SPACE MARINES,Land Raider,,Hull,,,,,,,,,,
16,review_suggestion_high,"Check whether this imported unit is the same datasheet as 'Inquisitor'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",2a3f-b53b-6ea4-6da9,Inquisitor Kroyle,Imperium - Agents of the Imperium,model,1,1,unmatched_unit,0.76,name similarity 0.74; token overlap 0.50; faction compatible,IMPERIAL AGENTS,Inquisitor,,32mm,,,,,,,,,,
17,review_suggestion_high,"Check whether this imported unit is the same datasheet as 'Wraithknight'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",5f15-8ad-1f3b-d6d1,Skathach Wraithknight [Legends],Aeldari - Aeldari Library,model,1,1,unmatched_unit,0.75,name similarity 0.73; token overlap 0.50; faction compatible,AELDARI,Wraithknight,,120x92mm Oval Base,,,,,,,,,,
18,review_suggestion_high,"Check whether this imported unit is the same datasheet as 'Exalted Sorcerer on Disc of Tzeentch'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",7456-b122-14c3-eca9,Chaos Lord on Disc of Tzeentch [Legends],Chaos - Chaos Space Marines,model,1,1,unmatched_unit,0.75,name similarity 0.73; token overlap 0.50; faction compatible,THOUSAND SONS,Exalted Sorcerer on Disc of Tzeentch,,40mm,,,,,,,,,,
19,review_suggestion_high,"Check whether this imported unit is the same datasheet as 'Exalted Sorcerer on Disc of Tzeentch'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",dc89-ef5-e91d-b155,Chaos Lord on Disc of Tzeentch [Legends],Chaos - Thousand Sons,model,1,1,unmatched_unit,0.75,name similarity 0.73; token overlap 0.50; faction compatible,THOUSAND SONS,Exalted Sorcerer on Disc of Tzeentch,,40mm,,,,,,,,,,
20,review_suggestion_high,"Check whether this imported unit is the same datasheet as 'Celestian Sacresants'. If yes, set review_decision=accept_suggestion; otherwise fill override_* fields or leave blank.",6227-8c95-0e8a-81de,Celestian Sacresant Aveline [Legends],Imperium - Adepta Sororitas,model,1,1,unmatched_unit,0.75,name similarity 0.81; token overlap 0.25; faction compatible,ADEPTA SORORITAS,Celestian Sacresants,,32mm,,,,,,,,,,
