unit_id,faction,name,toughness,save,invulnerable_save,wounds,leadership,objective_control,feel_no_pain,damage_cap
f99a-af49-64c0-9bed,Aeldari - Aeldari Library,Beastmaster,,,,,,,,
790d-9fdf-b359-62ba,Aeldari - Aeldari Library,Corsair Cloud Dancer Band [Legends],,,,,,,,
758b-bfd2-96ed-52b,Aeldari - Aeldari Library,Corsair Reaver Band [Legends],,,,,,,,
4146-4127-52f7-5786,Aeldari - Aeldari Library,Corsair Skyreaver Band [Legends],,,,,,,,
cc68-ad19-7285-7a11,Aeldari - Aeldari Library,Corsair Voidreavers,,,,,,,,
cbb7-6669-a014-36fe,Aeldari - Aeldari Library,Corsair Voidscarred,,,,,,,,
b221-43a3-8bee-117c,Aeldari - Aeldari Library,Court of the Archon,,,,,,1,,
a5d3-e21b-bf13-a952,Aeldari - Aeldari Library,Cronos,,,,,,,,
6863-bf42-238a-fd0b,Aeldari - Aeldari Library,Dark Reapers,,,,,,,,
e6c2-f3b2-6d3e-c3d3,Aeldari - Aeldari Library,Dire Avengers,,,,,,,,
5374-9e93-8af2-819e,Aeldari - Aeldari Library,Fire Dragons,,,,,,,,
d729-7e1f-93a9-b1c5,Aeldari - Aeldari Library,Grotesques,,,,,,,,
e78a-4442-4ed2-66bf,Aeldari - Aeldari Library,Guardian Defenders,,,,,,,,
2311-9feb-9d0a-8154,Aeldari - Aeldari Library,Hellions,,,,,,1,,
7fcb-9262-474a-7cec,Aeldari - Aeldari Library,Howling Banshees,,,,,,,,
1529-793d-481b-82bf,Aeldari - Aeldari Library,Incubi,,,,,,,,
d20b-783-ccf6-b29d,Aeldari - Aeldari Library,Kabalite Warriors,,,,,,2,,
6a3a-7973-b509-532e,Aeldari - Aeldari Library,Mandrakes,,,,,,,,
b98b-701f-9c0c-5437,Aeldari - Aeldari Library,Rangers,,,,,,,,
2c3a-9752-2516-69ab,Aeldari - Aeldari Library,Reavers,,,,,,2,,
7c93-baac-e65f-58bd,Aeldari - Aeldari Library,Scourges,,,,,,1,,
9c94-b663-fd31-6001,Aeldari - Aeldari Library,Shadow Spectres [Legends],,,,,,,,
433-faed-ea62-c531,Aeldari - Aeldari Library,Shining Spears,,,,,,,,
c1ff-dc11-9853-e3e3,Aeldari - Aeldari Library,Shroud Runners,,,,,,,,
9270-4b93-ca59-f3ed,Aeldari - Aeldari Library,Skyweavers,,,,,,,,
5452-c4a7-59fb-f05c,Aeldari - Aeldari Library,Storm Guardians,,,,,,,,
c90f-a8e5-6afa-eb91,Aeldari - Aeldari Library,Striking Scorpions,,,,,,,,
240f-70a4-7ba7-a538,Aeldari - Aeldari Library,Swooping Hawks,,,,,,,,
5c5f-b70b-f6ee-a81e,Aeldari - Aeldari Library,Talos,,,,,,,,
dac1-6a7f-a06a-82cf,Aeldari - Aeldari Library,Troupe,,,,,,,,
814d-56c9-78fe-2123,Aeldari - Aeldari Library,Vypers,,,,,,,,
bcec-dc54-9242-4e13,Aeldari - Aeldari Library,War Walkers,,,,,,,,
d61-c058-6bd1-112f,Aeldari - Aeldari Library,Warlock Conclave,,,,,,,,
f52d-1814-7d66-1f7b,Aeldari - Aeldari Library,Warlock Skyrunners,,,,,,,,
57ec-47a8-a59a-6a46,Aeldari - Aeldari Library,Warp Spiders,,,,,,,,
592a-b255-6c58-19ec,Aeldari - Aeldari Library,Windriders,,,,,,,,
2659-7a1b-3ce6-8e4b,Aeldari - Aeldari Library,Wracks,,,,,,2,,
bb4f-4359-cc16-e6d5,Aeldari - Aeldari Library,Wraithblades,,,,,,,,
5aa4-107-d7ee-f0f3,Aeldari - Aeldari Library,Wraithguard,,,,,,,,
edca-1a1b-902d-421a,Aeldari - Aeldari Library,Wyches,,,,,,2,,
5bf7-f905-8fab-43b4,Aeldari - Aeldari Library,Ynnari Incubi,,,,,,,,
807b-0b72-5908-a3d4,Aeldari - Aeldari Library,Ynnari Kabalite Warriors,,,,,,,,
915d-ad53-9518-7a85,Aeldari - Aeldari Library,Ynnari Reavers,,,,,,,,
36fd-7c3f-b728-c5d4,Aeldari - Aeldari Library,Ynnari Wyches,,,,,,,,
2de0-5897-f724-a592,Chaos - Daemons Library,Beasts of Nurgle,,,,,,3,,
2f31-9132-b703-5fd8,Chaos - Daemons Library,Bloodcrushers,,,,,,2,,
4ecc-6aa5-da28-2c57,Chaos - Daemons Library,Bloodletters,,,,,,2,,
b795-b936-ad61-e407,Chaos - Daemons Library,Blue Horrors,,,,,,,,
41c2-d2e6-ae43-3beb,Chaos - Daemons Library,Daemonettes,,,,,,2,,
d1ee-8d05-4fae-1727,Chaos - Daemons Library,Fiends,,,,,,,,
5f23-4d6-f2f9-5973,Chaos - Daemons Library,Flamers,,,,,,1,,
fd31-64a2-b20f-f0bc,Chaos - Daemons Library,Flesh Hounds,,,,,,1,,
1b9e-e164-7a5a-c8b7,Chaos - Daemons Library,Furies [Legends],,,,,,1,,
e8d-bf22-b29-d20e,Chaos - Daemons Library,Hellflayers,,,,,,3,,
e403-3a9-279e-41b7,Chaos - Daemons Library,Nurglings,,,,,,0,,
e7b8-aa40-6da7-778e,Chaos - Daemons Library,Pink Horrors,,,,,,1,,
d620-146a-41cd-f28f,Chaos - Daemons Library,Plague Drones,,,,,,2,,
a5c9-6285-af1e-3cc3,Chaos - Daemons Library,Plague Toads [Legends],,,,,,2,,
d1eb-b092-d944-e729,Chaos - Daemons Library,Plaguebearers,,,,,,2,,
fd5b-9e27-797d-6a3a,Chaos - Daemons Library,Pox Riders [Legends],,,,,,2,,
550b-c5ab-5e27-f59b,Chaos - Daemons Library,Screamers,,,,,,,,
5fe1-5a7a-9f8e-21e0,Chaos - Daemons Library,Seeker Chariot [Legends],,,,,,,,
112d-8078-777f-76a5,Chaos - Daemons Library,Seekers,,,,,,,,
3b78-bfd1-fe54-cf68,Chaos - Chaos Knights,Accursed Cultists,,,,,,,,
544c-478c-06c3-271a,Chaos - Chaos Knights,Cultist Mob,,,,,,1,,
bbab-6f86-5279-be89,Chaos - Chaos Knights,Cultist Mob with Firearms [Legends],,,,,,1,,
