weapon_id,unit_id,name,weapon_type,attacks,skill,strength,ap,damage,keywords,hit_modifier,wound_modifier,reroll_hits,reroll_wounds,lethal_hits,sustained_hits,devastating_wounds,source_file
828d-840a-9a67-9074:the-sword-of-asur,828d-840a-9a67-9074,The Sword of Asur,melee,6,2+,6,-3,3,Devastating Wounds,,,,,,,,Aeldari - Aeldari Library.cat
828d-840a-9a67-9074:the-bloody-twins,828d-840a-9a67-9074,The Bloody Twins,ranged,6,2+,5,-1,2,"Assault, Pistol",,,,,,,,Aeldari - Aeldari Library.cat
69f4-c990-93b4-20fc:banshee-blade,69f4-c990-93b4-20fc,Banshee Blade,melee,5,2+,4,-3,1,-,,,,,,,,Aeldari - Aeldari Library.cat
69f4-c990-93b4-20fc:dragon-fusion-gun,69f4-c990-93b4-20fc,Dragon Fusion Gun,ranged,1,2+,9,-4,D6,"Assault, Melta 3",,,,,,,,Aeldari - Aeldari Library.cat
69f4-c990-93b4-20fc:laser-lance,69f4-c990-93b4-20fc,Laser Lance,ranged,1,2+,6,-3,2,Assault,,,,,,,,Aeldari - Aeldari Library.cat
69f4-c990-93b4-20fc:twin-shuriken-catapult,69f4-c990-93b4-20fc,Twin Shuriken Catapult,ranged,2,2+,4,-1,1,"Assault, Twin Linked",,,,,,,,Aeldari - Aeldari Library.cat
69f4-c990-93b4-20fc:close-combat-weapon,69f4-c990-93b4-20fc,Close Combat Weapon,melee,3,2+,3,0,1,-,,,,,,,,Aeldari - Aeldari Library.cat
df57-7a59-75eb-ce63:dragon-fusion-pistol,df57-7a59-75eb-ce63,Dragon Fusion Pistol,ranged,1,2+,9,-4,D6,"Assault, Melta 3, Pistol",,,,,,,,Aeldari - Aeldari Library.cat
df57-7a59-75eb-ce63:dragon-fusion-gun,df57-7a59-75eb-ce63,Dragon Fusion Gun,ranged,1,2+,9,-4,D6,"Assault, Melta 3",,,,,,,,Aeldari - Aeldari Library.cat
df57-7a59-75eb-ce63:death-spinner,df57-7a59-75eb-ce63,Death Spinner,ranged,D6,N/A,4,-1,1,"Ignores Cover, Torrent",,,,,,,,Aeldari - Aeldari Library.cat
df57-7a59-75eb-ce63:➤-reaper-launcher---starshot,df57-7a59-75eb-ce63,➤ Reaper Launcher - Starshot,ranged,1,3+,10,-2,3,"Heavy, Ignores Cover",,,,,,,,Aeldari - Aeldari Library.cat
df57-7a59-75eb-ce63:➤-reaper-launcher---starswarm,df57-7a59-75eb-ce63,➤ Reaper Launcher - Starswarm,ranged,2,3+,4,-2,1,"Heavy, Ignores Cover",,,,,,,,Aeldari - Aeldari Library.cat
df57-7a59-75eb-ce63:shuriken-pistol,df57-7a59-75eb-ce63,Shuriken Pistol,ranged,1,2+,4,-1,1,"Assault, Pistol",,,,,,,,Aeldari - Aeldari Library.cat
df57-7a59-75eb-ce63:star-glaive,df57-7a59-75eb-ce63,Star Glaive,melee,4,2+,6,-3,3,-,,,,,,,,Aeldari - Aeldari Library.cat
df57-7a59-75eb-ce63:banshee-blade,df57-7a59-75eb-ce63,Banshee Blade,melee,5,2+,4,-2,2,Anti-Infantry 3+,,,,,,,,Aeldari - Aeldari Library.cat
df57-7a59-75eb-ce63:scorpion-chainsword,df57-7a59-75eb-ce63,Scorpion Chainsword,melee,7,2+,4,-1,1,Sustained Hits 1,,,,,,,,Aeldari - Aeldari Library.cat
